,AREA # 01,Banteay Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 60 - 64 yrs,120,176,296,,,,
, 65 - 69 yrs,85,156,241,,,,
, 70 - 74 yrs,59,103,162,,,,
, 75 - 79 yrs,36,68,104,,,,
, 80+ yrs,28,53,81,,,,
, Total,7109,7347,14456,,,,
,,,,,,,,
,AREA # 22,Otdar Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1035,1016,2051,,,,
, 5 - 9 years,1208,1141,2349,,,,
, 10 - 14 yrs,1159,1182,2341,,,,
, 15 - 19 yrs,1357,1187,2544,,,,
, 20 - 24 yrs,967,979,1946,,,,
, 25 - 29 yrs,803,784,1587,,,,
, 30 - 34 yrs,449,448,897,,,,
, 35 - 39 yrs,665,568,1233,,,,
, 40 - 44 yrs,547,514,1061,,,,
, 45 - 49 yrs,545,463,1008,,,,
, 50 - 54 yrs,291,314,605,,,,
, 55 - 59 yrs,185,226,411,,,,
, 60 - 64 yrs,104,118,222,,,,
, 65 - 69 yrs,75,115,190,,,,
, 70 - 74 yrs,45,63,108,,,,
, 75 - 79 yrs,29,64,93,,,,
, 80+ yrs,11,37,48,,,,
, Total,9475,9219,18694,,,,
,,,,,,,,
,AREA # 23,Kep,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,223,203,426,,,,
, 5 - 9 years,238,229,467,,,,
, 10 - 14 yrs,328,301,629,,,,
, 15 - 19 yrs,329,302,631,,,,
, 20 - 24 yrs,253,218,471,,,,
, 25 - 29 yrs,200,194,394,,,,
, 30 - 34 yrs,107,121,228,,,,
, 35 - 39 yrs,165,153,318,,,,
, 40 - 44 yrs,151,149,300,,,,
, 45 - 49 yrs,129,136,265,,,,
, 50 - 54 yrs,81,94,175,,,,
, 55 - 59 yrs,46,65,111,,,,
, 60 - 64 yrs,40,41,81,,,,
, 65 - 69 yrs,33,34,67,,,,
, 70 - 74 yrs,20,29,49,,,,
, 75 - 79 yrs,18,23,41,,,,
, 80+ yrs,11,14,25,,,,
, Total,2372,2306,4678,,,,
,,,,,,,,
,AREA # 24,Pailin,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,851,798,1649,,,,
, 5 - 9 years,766,761,1527,,,,
, 10 - 14 yrs,929,893,1822,,,,
, 15 - 19 yrs,1079,1030,2109,,,,
, 20 - 24 yrs,964,881,1845,,,,
, 25 - 29 yrs,821,743,1564,,,,
, 30 - 34 yrs,448,427,875,,,,
, 35 - 39 yrs,521,546,1067,,,,
, 40 - 44 yrs,462,427,889,,,,
, 45 - 49 yrs,488,429,917,,,,
, 50 - 54 yrs,314,290,604,,,,
, 55 - 59 yrs,191,175,366,,,,
, 60 - 64 yrs,74,95,169,,,,
, 65 - 69 yrs,51,65,116,,,,
, 70 - 74 yrs,32,36,68,,,,
, 75 - 79 yrs,15,33,48,,,,
, 80+ yrs,15,24,39,,,,
