"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2010","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2010","16142","1"
"Russian Federation","2010","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2010","27391","1"
"Russian Federation","2010","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2010","37094","1"
"Russian Federation","2010","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2010","45002","1"
"Russian Federation","2010","Total","Female","22","Data tabulated by year of occurrence","Final figure, complete","2010","53163","1"
"Russian Federation","2010","Total","Female","23","Data tabulated by year of occurrence","Final figure, complete","2010","59089","1"
"Russian Federation","2010","Total","Female","24","Data tabulated by year of occurrence","Final figure, complete","2010","61261","1"
"Russian Federation","2010","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2010","61909","1"
"Russian Federation","2010","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2010","62851","1"
"Russian Federation","2010","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2010","59696","1"
"Russian Federation","2010","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2010","53420","1"
"Russian Federation","2010","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2010","49080","1"
"Russian Federation","2010","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2010","45362","1"
"Russian Federation","2010","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2010","41038","1"
"Russian Federation","2010","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2010","35780","1"
"Russian Federation","2010","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2010","31160","1"
"Russian Federation","2010","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2010","27061","1"
"Russian Federation","2010","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2010","22951","1"
"Russian Federation","2010","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2010","18874","1"
